26270,37761,18454,14950,12177,11534,58958,37124,25363,18935,11506,37672,24761,10700,36127,19991,11860,44384,21250,11612,17366,25099,15657,12469,37222,51588,36676,12924,5862,20769,12996,36018,6666,21364,72237,12366,10796,11749,13602,50104,21099,23549,26453,23203,21719,20475,11804,10543,13503,20752,30130,10545,21842,13608,12320,11709,25075,29367,24893,24478,47887,80084,29316,1188
574080,13338,79813,190400,15391,18905,118772,20791,154449,22258,19230,71199,90088,13511,15268,20565,28319,564828,302234,11948,36360,406318,16073,15253,18029,285334,10694,25682,113149,12186,13266,10235,1240059,11429,330721,23212,9021,21687,20105,16006,75445,14117,345053,79953,119717,17167,15772,15429,16216,472362,135730,29244,86313,22416,12482,13115,14259,515851,550536,111048,749663,834049,6170,29322
675993,21747,66763,416924,22179,15386,163097,18005,174042,25200,17437,91363,84042,11886,15403,19440,11640,514930,350511,12045,68150,443471,22443,17782,18958,218378,10755,15569,523171,14137,14811,9693,201346,10081,386753,12332,8902,10905,19179,21570,70583,12996,368220,99712,109174,19814,17994,10571,22212,546170,106343,11205,75351,17931,12534,13886,16872,448206,529873,103728,657203,6654,833758,80085
571663,16149,104049,191191,30899,37033,129542,14593,188163,32857,16878,92795,96095,11970,13182,16646,39983,710646,303319,11467,37296,439806,14207,16690,16837,218509,11424,15999,120227,15756,14957,9783,16312,9567,376354,13188,10128,10937,18535,25003,83863,25383,435875,73728,97227,15363,17921,11774,19054,485423,100297,11810,112572,15202,11282,15616,15858,469161,535027,83094,6138,656162,750117,47926
104457,28768,27489,38207,17214,17445,100626,20557,81827,20238,17443,58153,60105,14537,15649,17072,23387,79863,63715,15722,33062,79993,17403,32321,15680,65324,14618,17726,28064,16901,20694,16283,9407,13704,87487,16401,13453,15147,17414,20881,57867,18047,111583,77508,74935,17813,15353,17587,40080,95208,67586,13547,66295,18892,16186,17050,17335,87552,91640,2144,83051,103880,111057,24518
392577,16018,54655,152775,58814,17203,116482,11840,122659,13615,18849,68905,77006,12103,11325,13280,13454,588371,244446,13593,54895,318987,16475,18298,12981,172979,10744,14631,112705,22478,12999,10269,15228,9545,319763,14019,9777,43687,19904,14107,50346,13169,301718,65250,88282,23720,16091,9723,16427,384676,85801,12244,75007,13527,17676,11575,13241,341158,6236,91616,534927,529402,550389,24892
392655,13470,61555,139305,19668,20043,110348,28188,123765,18799,18893,67727,96063,11532,11265,13300,11659,369819,246792,12599,33595,261546,17529,14276,12121,169609,11081,17450,96892,14576,13504,9688,14784,10034,275294,13889,13501,10772,16360,18057,55472,28755,282630,59991,315832,25371,18986,9270,18281,330362,67402,10133,78874,13817,13149,17461,14461,5848,341052,87524,469019,448037,515985,29415
14963,11797,13029,28902,13495,11012,18512,12098,19723,14362,46270,26194,20346,11559,12084,13875,39626,16618,13061,39830,45623,36208,13757,13764,11967,18533,11821,15495,5116,23277,20008,11486,6157,10942,17260,12953,11277,38710,44223,14480,20970,19543,15457,64721,16767,14220,12624,11352,14475,15855,17052,11510,37891,14440,12066,41530,1362,14459,13247,17337,15862,16869,14255,25076
13717,12348,13952,14705,13427,10935,17520,11702,18014,18153,38983,27350,36901,11133,12160,14200,40312,13568,19995,39072,15872,14386,13914,13195,50153,15415,12075,13600,3910,13878,14093,11832,6449,10602,15906,14029,31244,39528,40262,14929,19758,14833,14152,18824,42145,14588,42388,11024,13984,13270,19103,11280,17712,14623,12139,1426,41524,17457,11581,17051,15612,13885,13124,11708
16271,11757,13005,13795,42799,27168,16748,11356,14669,11320,12191,35069,22300,27402,11396,24199,21581,14508,18619,12108,14752,20360,13278,13425,11647,15610,11866,12882,5854,24204,23433,11196,5807,27928,13793,12736,26497,11881,12161,14059,19594,19582,12267,17339,16533,24737,25972,26892,23656,16174,20712,26155,16363,37665,1480,12139,12065,13148,17669,16185,11284,12537,12482,12318
13836,14195,16230,15697,15753,12883,20977,13303,18076,15431,14176,21488,21846,13089,13637,16082,14310,21134,18617,14442,43924,17576,26070,33627,14222,19630,17408,16438,5257,15479,15583,13477,19948,12696,25641,15913,13146,14805,14727,48679,24430,49358,21009,23029,20985,17644,13909,13045,15600,14907,19080,13015,20095,1016,37665,14627,14443,13813,13531,18891,15204,17937,22420,13610
96187,18079,22850,34354,26338,63881,71586,18498,83924,28660,48308,63548,81843,15967,17045,18917,19390,76099,56801,17844,36979,66635,19918,43716,19293,52452,16677,24300,22934,18729,20461,17189,10295,14827,69674,18826,25431,18564,19103,21986,70147,20074,84039,78251,71831,18894,15964,15676,19792,64113,62677,15330,2662,20092,16357,17714,37890,78985,75091,66306,112890,75620,86567,21867
11448,10811,11407,12428,11507,34224,13077,11187,13370,18889,11182,13065,15185,34031,10717,11963,11899,13555,12548,16740,67280,11481,12761,12884,11556,14060,11082,48420,11855,60290,17176,12307,5488,33845,25630,11887,33584,11159,11403,12674,17091,13146,11621,16421,13428,30456,32362,32708,12162,12427,16305,1396,15328,13013,26149,11279,11510,10131,12249,13548,11811,11207,29272,10546
80992,24218,31477,44224,23470,14753,76622,15680,79883,16850,25470,53328,73233,15742,16168,17658,17469,76968,55926,43313,38242,90484,23056,41774,16338,61324,35856,20414,36557,17966,27468,20659,9693,15325,88782,19021,13887,17472,17468,18924,65894,40640,101352,65179,68273,20075,32389,17132,23208,93501,2304,16305,62688,19075,20715,19108,17053,67413,85838,67634,100405,106614,135827,30119
594472,16613,67238,172949,14257,12249,111880,12458,127296,18097,14358,47106,110304,12886,12776,14925,11337,359650,247540,13466,30739,269668,15669,24421,15265,170649,10794,16373,139928,13089,14209,10730,14397,9706,269110,13224,9300,10558,18966,17120,56277,14712,289513,70227,77306,19532,11764,9787,15058,6182,93498,12426,64087,14897,16136,13267,15862,330661,384654,95188,485423,544099,472680,20750
17885,13016,19908,37276,14232,19486,18594,26163,20510,29994,13676,15434,23718,12197,12761,45782,13996,21131,17199,15592,17445,16623,15174,14744,12589,21412,12524,14279,5822,59099,68007,12548,10237,11559,15260,15402,11798,13729,14624,16304,23552,15855,16836,21607,16990,45644,11576,11748,1704,15068,23205,12159,19789,15600,23650,13983,14475,18280,16461,40074,19080,22298,16221,13501
10874,11136,11540,15355,23069,34096,20676,10908,22310,22528,10916,11939,16577,34765,10918,12645,11357,9907,10711,11699,13499,11602,20861,12059,15581,13989,11122,14387,3619,12306,12053,10916,5451,34055,10471,29101,33773,26191,11335,13092,17676,13110,28726,15721,14428,11721,32051,1392,11750,9792,17126,32699,15672,13042,26897,11022,11354,9269,9730,17585,11773,10570,15437,10544
