313022,418616,509734,498337,637326,821606,996002,1181440,4652239,4907413,5214475,6414875,5266978,8613105,8740828,5510851,5226410,7557906,5864411,6195161,5760825,8485784,5411377,5617843,12000484,5742540,8647393,9931901,11507428,12062694,14487318,4
380820,323154,436867,400273,631797,801358,936070,1068707,3461025,3950064,4592824,5754288,8256722,8519765,6771072,12590657,14079330,12879563,14265895,17644101,19840002,7374556,25946946,27361397,8471470,29824315,37183330,27294738,45104591,7744706,18,14488040
334669,402135,495047,508594,645845,884674,1189104,1389221,4880857,5270166,5991679,6146168,3842517,5572307,3932180,3719584,3146707,4759544,3483107,4392978,3202389,10023753,3041181,3075497,10454085,3348018,5465446,4755777,7267062,6,7735766,12044020
385763,418715,559996,597380,842095,1122433,1398320,1532028,3525658,3921062,4306162,5711502,7990029,8083158,7128084,12339801,13878071,12970145,12919858,17591647,18834044,7000099,25125872,25878320,9447622,28720612,37514569,26886599,44,7274579,45124512,11509278
217303,466136,481352,616098,545580,653621,697987,721666,2394249,2469161,3057090,4343967,10039649,7631315,7682453,15138151,14867449,13202047,16659675,15862283,17549377,4815757,18381231,17763709,7965622,20215338,27378160,44,26854325,4757543,27261768,9928230
225530,403619,379295,514457,513253,645761,700241,734864,2428820,2819851,3435530,4506457,8056647,7475382,6810246,13382580,15077544,12390917,13676735,20470902,22202670,5569032,28635835,29514658,8353417,32006833,46,27393165,37505791,5466993,37185050,8646430
229090,414830,412964,520696,479569,501718,642949,606607,2222402,2234767,2525513,3160551,8037499,7009250,4940147,13153971,14440329,12411151,13599882,18069623,21471290,3576750,35147230,52739121,4918247,4,32040897,20225904,28714800,3348745,29849795,5743324
297591,411489,486924,536100,630119,888298,1468535,1826764,4039775,4401735,5237377,5918168,5146147,5801714,7676008,5653895,4854053,4745616,4736209,5429866,5277200,10211965,5900695,5177479,24,4917907,8353636,7965377,9439929,10440477,8462953,11988706
322406,473358,492739,590517,676135,692773,839091,780712,1852732,1991441,2094817,2695092,6644371,6818841,4652620,11869122,13162923,11807190,12993636,17961243,20492875,3195652,36073564,4,5177352,52730045,29537992,17783051,25870222,3075739,27372667,5618166
164337,292835,277494,376231,404319,526640,558115,662629,1374906,1508514,1907856,2709823,6164362,5948498,5297022,12400596,12509329,12239507,12341104,17160997,22035409,3184100,18,36073960,5900417,35124578,28654264,18391487,25113476,3041453,25952084,5411274
