63424,69081,37738,47465,46558,48226,55930,67532,79062,83359,158660,117112,139649,134499,225679,198169,155435,338296,308523,369913,481103,391017,537905,380448,738451,696603,758795,816195,725651,663281,814918,904147,711498,728932,1009728,1080314,1409849,715730,1763248,2002517,2051525,2521074,1770305,1206988,3196833,2786197,2738727,2809518,2845120,2474119,3766703,4093852,1881613,3783198,3049634,4011692,4189485,3188713,5718879,2391306,4425901,5100876,2734594,4749300,4427041,5292969,5057632,2901500,4159019,4842710,3881140,4747050,2526566,3551613,3741936,4551512,6338792,2786253,5127983,3822546,2752943,3729913,3789454,3675438,10379249,7076756,2519119,4411282,3179425,3174354,3229100,5074898,9459262,12443776,10703670,460
63638,65943,36137,42084,41207,36596,43386,48677,77837,68661,137717,112324,117133,122075,177541,185498,149559,269180,275877,311033,448124,306655,533423,254209,595969,710990,705025,684268,603266,409069,802058,890336,377524,611074,877226,381257,1548370,635286,1487697,1462539,1309085,1976538,2234099,1214254,2256979,1828039,2389946,2085070,2088659,1948950,3674827,3523599,1429793,3477645,1753544,4251742,4467647,2835704,6361190,1919146,3109070,5104851,2308776,4387312,4818724,4342175,3544356,2671324,4438001,4996130,4066795,5152072,1862008,3137114,3294923,4776300,7702584,2507354,4519193,3793609,2300690,3259443,3037363,3602433,8651984,6699064,2151869,4742048,3441449,2815293,3001857,6014456,8748719,8669964,56,10703026
35595,39977,48976,54314,59312,49682,60167,60303,76816,67334,128237,118873,124682,149934,234909,200193,201477,330637,305129,363223,562543,412769,471450,476262,631647,807051,613110,808763,863977,683234,803453,778857,725320,841808,934795,900262,1696640,670095,1620969,1807762,1555487,2050625,2260643,1130949,2623668,2080715,2781522,2355571,2920170,2337773,4057918,4246989,1710322,4097721,2634553,4168714,4419335,3271327,5608465,2771201,4254618,5545395,2423704,4603686,4789279,5026671,4131022,2658180,4101839,4656660,3519213,4771510,2582881,3252387,3509102,4295834,6191683,2320751,4468566,3957196,2171236,3491725,3559236,3181680,9772374,7192283,2151202,4350469,2826143,2801554,2929618,5215121,10893832,114,8670940,12444086
28356,30641,44888,46614,50690,43634,50389,59290,83046,70252,122422,115456,114011,139905,183116,172257,157681,246868,268112,269423,527837,343509,475319,285544,692164,737246,748022,671879,633892,474833,741296,932166,430144,703326,877482,264831,1580876,609308,1739707,1871578,1330869,2692227,1965969,1162996,2141909,2225900,2581503,2072945,2551354,2251139,3884929,4052341,1512459,4092458,3059134,3945264,4548559,3160459,6021956,1684473,4545512,4231909,2409621,4812898,4940551,4642194,3674068,2625982,3765185,4245326,3326145,4285425,1771910,2967265,2973437,4281124,6655668,2242007,3725162,3844021,2177547,3033023,2979256,3413428,9378757,5512682,1949217,4542179,3002377,3042725,2961927,5058834,202,10892873,8749170,9463409
27756,29194,39172,39664,44893,44538,47940,57898,83755,59483,107703,98788,100136,89698,149970,124749,95465,156599,160748,213087,341805,295367,378270,174800,494681,606003,612440,468286,354290,252623,428518,447090,255521,336101,509516,183399,1084232,509468,1100516,1546924,1147530,1427246,804196,749898,2098564,1890342,1317628,1931214,928100,2252126,2263443,2379225,689533,2717560,1433989,3314135,3233278,2828516,4257003,811344,2357783,6100467,4837201,4140263,4672318,4865830,5167471,5064847,7013057,6821065,7938765,8240587,876612,10559181,10271770,13016732,4701505,15293743,11998969,7893304,14273413,12413509,11867894,19480422,6209174,19121825,19458190,18873460,16346556,18535671,17937456,102,5059009,5215400,6014234,5074916
22137,24809,37263,36399,41982,48782,51328,57353,84094,80286,109792,132529,124218,113608,176423,181130,123369,227903,292209,268769,429062,311941,444347,341368,560535,649393,594098,541303,614166,476528,664446,826752,418459,669455,701628,243490,946508,510835,1008639,1241415,1282879,1240268,1215217,909545,1961171,1201670,1613654,1802017,1202090,1538408,1979576,1525901,1000065,1651681,1146803,1722037,1723404,1755627,2468747,1114968,1852432,2881092,6178502,5641716,6082055,6538594,6745070,6393678,7342980,4894183,7586026,8282815,1065069,9378888,9774213,10714914,1859140,16013113,8852994,8581957,16007937,15422206,12555092,19838636,3375828,13656449,20316680,15836914,16428603,19323190,24,17937551,2961910,2929698,3001940,3229144
22620,25560,37487,36632,44099,50669,56091,60685,80690,70544,116986,141437,138386,132256,188854,208166,115651,234161,263843,284979,384141,307049,376122,285307,572846,621265,540381,486829,587086,439281,613638,878139,437529,647999,628257,236520,1090942,500500,1055332,1161172,1247686,1239801,1196924,979939,1850588,1161886,1393373,1898836,1044081,1456143,1752057,1667432,952742,1716855,1417286,1919748,1697909,1786655,2513235,1109595,1775977,2559577,6553412,5942040,5898314,7183578,6878640,6751775,7390842,4057098,7924783,7977327,1259006,9824806,10132333,11277718,1676926,15050790,9221222,9843894,15046902,14314919,12486070,18581585,3440042,13027315,20504921,15118104,15573056,164,19325606,18538841,3042976,2801648,2815440,3174445
58649,58175,31910,41029,38343,33172,44469,48597,73433,52407,125329,89932,90132,75106,144718,124636,94458,182353,157210,229013,372045,279934,430584,194467,523587,712507,606898,455435,344738,242256,431781,459420,254907,368783,526695,164778,1638496,507046,1503658,1449740,1089768,1526413,1632226,793187,1434354,1210516,1749671,1792935,1751800,1305502,2100425,1671802,1789483,1695201,1527544,1821060,1526498,1617559,2342680,1796576,2043243,2257042,5609551,5221390,6153821,6136409,5967684,5361673,5819065,4170340,5309462,5834648,2683530,6940230,7314256,8819597,1887742,14596894,8683037,8314976,13474060,12284001,14101673,16181134,3918249,13580278,14494721,14947023,102,15564960,16421324,16339096,3002375,2826179,3440989,3179523
24770,26514,35654,35290,42441,44855,53672,55768,81585,66359,104263,120774,117201,98542,158118,163125,103164,173582,195277,221289,327546,302024,393140,187458,486144,576188,575004,458604,360835,283206,482207,488720,284549,386476,537336,200571,1142199,497958,1120947,1404387,1321774,1451920,824153,774790,2659984,1812581,1264015,2440354,942645,2453548,2175894,2468788,775614,3537839,1311447,3323548,3452395,3568086,3534921,802195,2987806,3759156,5824136,4526198,5071407,5217950,5478718,5650812,5865974,4419186,6604887,6818566,817702,7988939,8014642,9072668,2902530,12299597,8068133,8273796,11279571,11360124,12092611,13087554,3946121,11972455,13105161,244,14952567,15116928,15837232,18873208,4541936,4350731,4742108,4411301
61054,63565,34590,43801,42596,32265,47947,42239,65544,55180,108474,78313,71597,86066,116020,98158,99677,203577,203460,171881,204639,217434,263076,254517,466219,524773,455183,219888,319916,329234,430813,447476,270434,342769,720300,179380,389247,881254,383664,430517,835813,460439,724482,799550,1257091,743914,1451934,1535904,771888,1002319,949202,1049062,641017,1012978,854729,1313043,3317080,1801564,1580166,747113,948907,2997057,5749214,4676896,4385526,5300111,4842117,6088347,5136337,4368820,6625547,5834475,1482130,7451356,7744229,8017003,6041204,18636087,8274367,7065599,16419060,12572373,11132055,17137473,2728472,14962919,18,13105110,14500711,20500852,20316282,19456644,1949140,2151370,2152503,2519597
